name,state,latitude,longitude,budget,nature_score,adventure_score,culture_score,crowd_score,accessibility_score,best_season,tourism_saturation,geography,architecture,environment,temperature
Minajhola,Odisha,19.02,83.4,2200,10,8,9,9,5,Winter,Very Low,"Eastern Ghats, dense forests, valleys and three-river confluence",Shiva temple and traditional religious structures,"Serene, spiritual, green, forested and low-pollution",Warm
Rabandhara,Odisha,19.89,83.17,1800,9,8,7,9,7,Monsoon,Very Low,"Tropical deciduous forests, streams, waterfall and reservoir landscape",Eco-tourism cottages and traditional local settlement style,"Quiet jungle, rich biodiversity, peaceful and green",Warm
Sospadar Waterfalls,Odisha,19.85,83.1,1800,10,9,6,10,5,Monsoon,Very Low,"Forested hills, rocky slopes, streams and cascading waterfalls",Simple rural and tribal surroundings,"Remote, pristine, green, peaceful and low-pollution",Warm
Belghar,Odisha,20.16,84.01,2200,9,8,9,9,5,Winter,Very Low,"Mountainous terrain, valleys, forests and rolling hills",Tribal village architecture and simple eco-tourism structures,"Cool, quiet, forested and relatively untouched",Cool
Putudi Waterfall,Odisha,20.07,84.15,1700,10,9,6,9,5,Monsoon,Very Low,"Rocky forest landscape, streams, cliffs and waterfall",Rustic rural and tribal surroundings,"Dense green forest, peaceful and secluded",Warm
Ludu Waterfall,Odisha,20.08,84.06,1700,10,9,6,9,5,Monsoon,Very Low,"Forested hills, rocky slopes, streams and cascading falls",Simple tribal and rural surroundings,"Pristine, green, quiet and biodiversity-rich",Warm
Kanjipani,Odisha,21.19,85.47,1800,9,7,6,9,6,Winter,Very Low,"High-elevation plateau, rolling hills, valleys and forest",Rural settlements and basic hill tourism structures,"Cool, misty, green and peaceful",Cool
Hatipathar,Odisha,19.17,83.42,2000,9,7,7,9,6,Monsoon,Very Low,"Rocky river landscape, forested hills and boulder formations",Small religious and local structures,"Secluded, green, rocky and peaceful",Warm
Kavvayi Backwaters,Kerala,12.08,75.16,2200,10,6,8,9,7,Winter,Very Low,"Northern Kerala backwaters, interconnected waterways, islands and coconut-lined shores","Traditional fishing villages, country boats and Kerala-style homes","Calm, green, peaceful and low-pollution",Warm
Achamthuruthi,Kerala,12.16,75.16,1800,9,5,9,10,7,Winter,Very Low,"Tejaswini River island landscape with waterways, wetlands and lush vegetation","Traditional village homes, temples and long pedestrian bridge","Extremely peaceful, rural, green and quiet",Warm
Veliyamkode Beach,Kerala,10.69,75.99,1800,9,4,7,10,8,Winter,Very Low,"Arabian Sea coastline, sandy beach, rocky stretches and coconut palms",Traditional fishing settlements and simple coastal homes,"Uncrowded, breezy, peaceful and naturally scenic",Warm
Elappeedika,Kerala,11.98,75.72,2000,10,8,8,9,5,Winter,Very Low,"Western Ghats foothills, forested hills, grasslands and valleys",Traditional Malabar village homes and heritage structures,"Green, misty, tranquil and relatively untouched",Cool
Anjukuzhi Waterfall,Kerala,9.75,76.93,2000,10,8,6,9,5,Monsoon,Very Low,"Western Ghats terrain, forested slopes, rocky streams and waterfall",Simple rural structures and local settlement architecture,"Lush, refreshing, secluded and biodiversity-rich",Warm
Panimur Waterfalls,Assam,25.5,93.17,2200,10,9,6,9,5,Monsoon,Very Low,"Rocky riverbed, forested hills and cascading waterfalls in the Kopili landscape",Simple rural and indigenous village structures,"Wild, green, refreshing and secluded",Warm
Bhairabkunda,Assam,26.79,92.15,2000,9,7,8,9,6,Winter,Very Low,"Foothills, forested valleys, streams and the Bhutan-Assam border landscape",Forest camp structures and local village architecture,"Quiet, green, cool and peaceful",Cool
Chandubi Lake,Assam,26,91.5,2200,10,6,8,8,6,Winter,Low,"Natural lake surrounded by hills, forests and wetlands","Traditional tribal villages, bamboo houses and eco-camps","Serene, green, bird-rich and low-pollution",Warm
Mayong,Assam,26.24,92.08,1800,7,4,10,9,8,Winter,Very Low,"Brahmaputra floodplain with rural landscapes, wetlands and riverine terrain","Traditional Assamese village homes, temples and heritage sites","Quiet, rural, culturally rich and peaceful",Warm
Umrangso,Assam,25.52,92.72,2300,9,8,8,8,6,Winter,Low,"Dima Hasao hills, reservoirs, forests and rolling highlands","Hill-tribe settlements, bamboo structures and simple local architecture","Misty, green, cool and scenic",Cool
Tharon Cave,Manipur,24.98,93.45,2200,9,9,8,10,4,Winter,Very Low,"Limestone cave system, forested hills and rugged terrain",Minimal rural structures with traditional village surroundings,"Dark, secluded, forested and pristine",Cool
Bunning Meadow,Manipur,24.99,93.5,2200,10,7,7,10,4,Monsoon,Very Low,"Highland meadow, rolling hills, orchids and wild lilies",Traditional hill-village structures nearby,"Open, green, misty and peaceful",Cool
Zeilad Lake,Manipur,24.88,93.58,2300,10,6,8,10,4,Monsoon,Very Low,Hilltop freshwater lake surrounded by forests and wildlife habitat,Simple local settlements and traditional structures,"Serene, forested, biodiverse and secluded",Warm
Barak Waterfalls,Manipur,24.96,93.48,2300,10,9,7,9,4,Monsoon,Very Low,"Forested Tamenglong hills, rocky streams and cascading waterfalls",Simple rural and tribal surroundings,"Untouched, green, misty and adventure-oriented",Warm
Willong Khullen,Manipur,25.35,94.15,2000,9,7,10,10,4,Winter,Very Low,"Steep hill terrain, forested slopes and unusual natural stone formations",Traditional Naga village houses and megalithic stone structures,"Remote, quiet, culturally distinctive and green",Cool
Bangus Valley,Jammu and Kashmir,34.43,74.16,3000,10,9,8,9,4,Summer,Very Low,"High-altitude alpine valley, meadows, forests, streams and mountain ranges",Traditional Kashmiri mountain villages and simple pastoral structures,"Pristine, quiet, green and low-pollution",Cool
Chatpal,Jammu and Kashmir,33.62,75.18,2800,10,7,8,10,5,Summer,Very Low,"Lush valley, pine and deodar forests, mountain streams and meadows",Traditional Kashmiri wooden houses and rural settlements,"Extremely peaceful, forested and uncrowded",Cool
Lolab Valley,Jammu and Kashmir,34.39,74.35,2800,10,7,9,9,5,Summer,Very Low,"Long alpine valley, orchards, forests, meadows and mountain streams",Traditional Kashmiri wooden homes and village architecture,"Green, tranquil, pastoral and low-pollution",Cool
Aharbal,Jammu and Kashmir,33.62,75.33,2400,9,8,6,8,7,Summer,Low,"Kashmir Valley mountain landscape, forested slopes and cascading waterfall",Simple tourism facilities and traditional village structures,"Cool, green, refreshing and peaceful",Cool
Gurez Valley,Jammu and Kashmir,34.63,74.83,3200,10,8,10,8,4,Summer,Low,"High-altitude Himalayan valley, Kishanganga River, alpine meadows and mountains",Traditional Dard-Shina wooden houses and village settlements,"Remote, pristine, culturally rich and low-pollution",Cool
